COD,PRODUCTO,CATEGORIA,PRECIOS MAYORISTAS,PRECIOS MINORISTAS,LINK
26,"Caña Avenger AVG-S601MHM 1,83m 17-25lb Casting/Spinning",Cañas,40000,55000,https://www.mercadolibre.com.ar/cana-marine-sports-avenger-avgs601mhm-183m-1725lb-1-tramo/up/MLAU3707227028#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=d5d905c1-7a27-48aa-9d2e-9742ab97d47d&wid=MLA2728968970&sid=search
27,"Caña Maremoto 4203 3 Tramos 4,20m",Cañas,70000,95000,https://www.mercadolibre.com.ar/cana-waterdog-maremoto-420m-70g-3-tr-4-punteras-powerflex-color-negro/p/MLA65438001#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=e6fdae14-aa64-4d22-a30b-2dbc6b80ca3a&wid=MLA1692933041&sid=search
28,"Caña Murray 3904 Telescópica 4,00m",Cañas,27000,50000,https://www.mercadolibre.com.ar/cana-telescopica-waterdog-murray-3904-390-mts-pejerrey/up/MLAU318379459#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=ea8f46c6-b375-4beb-8235-d97c74eec78d&wid=MLA1141523731&sid=search
29,Multifilamento X4 14mm x 100m,Accesorios,3500,5000,
30,Multifilamento X4 18mm x 100m,Accesorios,3500,5000,
31,Multifilamento X4 20mm x 100m,Accesorios,3500,5000,
32,Multifilamento X8 18mm,Accesorios,5000,8000,
33,Caja con Artículos de Pesca,Accesorios,4000,6000,
34,Gorra Camuflada,Accesorios,7000,9000,
35,Cuellito Liso y Camuflado,Accesorios,4000,8000,
36,Gorro Camuflado,Accesorios,5000,10000,
